"probe_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene symbol","Gene ID","Gene title","gene_symbol_primary"
"204542_at",0.0658602506315802,11.6528466647458,0.685627136541856,0.4955354538642,0.952376385311246,-5.2893785251872,"ST6GALNAC2","10610","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2","ST6GALNAC2"
"201569_s_at",-0.0692989163026336,11.0530200749153,-0.685618565454098,0.495540822406918,0.952376385311246,-5.28938345058452,"SAMM50","25813","SAMM50 sorting and assembly machinery component","SAMM50"
"213521_at",-0.0524557725789467,10.5659327469322,-0.685534918181668,0.495593216955432,0.952376385311246,-5.2894315155267,"PTPN18","26469","protein tyrosine phosphatase, non-receptor type 18","PTPN18"
"217303_s_at",0.0420081236868439,5.08892410211864,0.68553341574989,0.495594158068631,0.952376385311246,-5.28943237879324,"ADRB3","155","adrenoceptor beta 3","ADRB3"
"218764_at",-0.0563003282499981,11.1364773059322,-0.685432419370694,0.495657423765476,0.952376385311246,-5.28949040498427,"PRKCH","5583","protein kinase C eta","PRKCH"
"207620_s_at",-0.0780008089473636,6.50852732057627,-0.685423695415394,0.495662888793522,0.952376385311246,-5.28949541682835,"CASK","8573","calcium/calmodulin dependent serine protein kinase","CASK"
"202224_at",0.0493298556315764,10.4401640532881,0.685379683907803,0.495690459832049,0.952376385311246,-5.28952070013981,"CRK","1398","CRK proto-oncogene, adaptor protein","CRK"
"219555_s_at",0.0794630959197349,5.66541564747458,0.685373204800543,0.495694518743982,0.952376385311246,-5.28952442206095,"CENPN","55839","centromere protein N","CENPN"
"214877_at",-0.17367510702368,8.39513084920339,-0.685276875320298,0.495754867609102,0.952376385311246,-5.2895797544243,"CDKAL1","54901","CDK5 regulatory subunit associated protein 1 like 1","CDKAL1"
"203468_at",-0.0861346633697355,9.11187793794915,-0.685247048691453,0.495773554325526,0.952376385311246,-5.28959688551086,"CDK10","8558","cyclin dependent kinase 10","CDK10"
"215430_at",0.0454436007684209,3.35892646549153,0.685113583456059,0.495857176505936,0.952376385311246,-5.28967353302416,"GK2","2712","glycerol kinase 2","GK2"
"206171_at",-0.165773089255259,8.49324331601695,-0.68508626614068,0.495874293026007,0.952376385311246,-5.28968921922883,"ADORA3","140","adenosine A3 receptor","ADORA3"
"219099_at",0.0572758710039452,9.00393608240678,0.684823301990326,0.496039077979305,0.952376385311246,-5.28984018761951,"TIGAR","57103","TP53 induced glycolysis regulatory phosphatase","TIGAR"
"210482_x_at",-0.0626568494131625,7.77316743532203,-0.684790643643746,0.496059545231698,0.952376385311246,-5.28985893288561,"MAP2K5","5607","mitogen-activated protein kinase kinase 5","MAP2K5"
"201366_at",0.0432215321842122,11.29858595,0.6847904084367,0.496059692639548,0.952376385311246,-5.28985906788677,"ANXA7","310","annexin A7","ANXA7"
"203298_s_at",-0.0416184068815824,10.8608356035593,-0.684678186323629,0.496130026684141,0.952376385311246,-5.28992347451807,"JARID2","3720","jumonji and AT-rich interaction domain containing 2","JARID2"
"206231_at",0.0423729549473704,5.01695983613559,0.684621335457423,0.496165659454646,0.952376385311246,-5.2899560984694,"KCNN1","3780","potassium calcium-activated channel subfamily N member 1","KCNN1"
"208166_at",0.0468097284065787,3.57680969145763,0.684617382317613,0.496168137240653,0.952376385311246,-5.28995836688542,"MMP16","4325","matrix metallopeptidase 16","MMP16"
"200742_s_at",-0.0680732211315842,10.6458554762712,-0.684577251129052,0.496193291425865,0.952376385311246,-5.28998139449295,"TPP1","1200","tripeptidyl peptidase 1","TPP1"
"33197_at",0.0737012170828937,6.07727108867797,0.68454463719657,0.49621373431657,0.952376385311246,-5.29000010766022,"MYO7A","4647","myosin VIIA","MYO7A"
"218205_s_at",0.0314947955657896,13.5163136774576,0.684506968887552,0.496237345937414,0.952376385311246,-5.29002171982936,"MKNK2","2872","MAP kinase interacting serine/threonine kinase 2","MKNK2"
"216376_x_at",0.0523919455447359,5.08220863818644,0.684496701543724,0.496243781921601,0.952376385311246,-5.29002761050897,"","","",""
"207427_at",-0.052660646847368,4.54292880249153,-0.684439446553064,0.496279672489756,0.952376385311246,-5.29006045780343,"ACR","49","acrosin","ACR"
"206274_s_at",-0.0673757061092113,6.91936577086441,-0.684390508101235,0.496310350919757,0.952376385311246,-5.29008853174481,"CROCC","9696","ciliary rootlet coiled-coil, rootletin","CROCC"
"212288_at",0.030201204644742,12.1132679450847,0.684382190083924,0.496315565403364,0.952376385311246,-5.29009330324712,"FNBP1","23048","formin binding protein 1","FNBP1"
"31846_at",0.0422370465486841,7.09683779432203,0.684341962007182,0.496340784413323,0.952376385311246,-5.29011637865884,"RHOD","29984","ras homolog family member D","RHOD"
"214690_at",0.0586671979486848,7.83251329401695,0.684289789782719,0.496373492260995,0.952376385311246,-5.29014630342347,"TAF1B","9014","TATA-box binding protein associated factor, RNA polymerase I subunit B","TAF1B"
"216813_at",-0.0955328341578925,5.324739422,-0.684260866836967,0.496391625161952,0.952376385311246,-5.29016289198144,"","","",""
"209243_s_at",0.120475886656578,4.36522079159322,0.684149683484295,0.496461333628405,0.952376385311246,-5.29022665402135,"PEG3","5178","paternally expressed 3","PEG3"
"207495_at",0.0625074337592109,5.56055626550847,0.684082056877688,0.49650373600045,0.952376385311246,-5.29026543192133,"RAB28","9364","RAB28, member RAS oncogene family","RAB28"
"200718_s_at",-0.0414298115657825,12.0380232884746,-0.684050703809793,0.496523395272359,0.952376385311246,-5.2902834088656,"SKP1","6500","S-phase kinase-associated protein 1","SKP1"
"212260_at",-0.0693955832539377,10.3627675385254,-0.684017190625565,0.496544409469335,0.952376385311246,-5.29030262346333,"GIGYF2","26058","GRB10 interacting GYF protein 2","GIGYF2"
